"Timestamp","1- Gender:","2- On which do you play the most?","3- What Game genres do you play the most?","4- How often do you play video games?","5- How many hours do you spend playing video games in one day?","6- Do you prefer to play alone or with your friends (either online or offline)?","7- Do you play for a professional team or take part in professional gaming tournaments?","8- Mainly, why do you play video games?","9- How many hours do you sleep at night every day?","10- Do you have difficulty sleeping?","11- How long does it usually take you to sleep after going to bed?","12- Do you randomly wake up in the middle of the night?","13- How many times do you wake up in one night?","14- Do you believe there is a direct correlation between gaming addiction and Insomnia?","15- Do you feel exhausted after waking up in the morning?","16- Do you have trouble focusing or paying attention during the day?","17- Did you notice any changes in your sleep schedule after starting to play video games?","18- What changes did you notice in your sleep routine? ","19- How do you think video games affect your sleep?","20- Did you try to reduce gaming time to enhance your sleep quality?","21- If “yes”, what results did you observe after reducing your gaming time?","22- From your perspective, can you determine the role of media in spreading awareness about the effects of video games on the increasing rates of insomnia? ","23- What are your suggestions regarding this matter?"
"2024/03/20 7:58:51 pm GMT+3","Female.","Personal Computer (PC).","Simulator games.;Sports games.;Strategy games.","Regularly (several times a week).","1-3 hours.","Alone.","No.","To relieve stress and tension.","6-8 hours.","Yes.","1 to 3 hours.","Yes.","Twice or 3 times maximum.","Yes.","Occasionally.","Occasionally.","Yes.","Repeatedly waking up during the night.;Lack of sleep.;Difficulty focusing.","Blue light emitted from screens prevents melatonin.;Excitement and constant stimulation from gaming make it difficult to relax and sleep.","No.","","Average.","Spread more awareness "
"2024/03/20 8:04:17 pm GMT+3","Female.","Xbox.","Shooting games.;Simulator games.;Strategy games.","Daily.","4-6 hours.","Together.","No.","As a reward after completing academic tasks.","3-6 hours.","Rarely.","Less than 1 hour.","Occasionally.","Twice or 3 times maximum.","Yes.","Yes.","Rarely.","Yes.","Feeling tired/exhausted.","Blue light emitted from screens prevents melatonin.;Disordered sleeping schedule as a result of gaming late at night.","No.","","Weak.",""
"2024/03/20 8:07:14 pm GMT+3","Female.","Mobile.","Shooting games.;Action Games.;Survival games.","Regularly (several times a week).","1-3 hours.","Together.","No.","To relieve stress and tension.","More than 8 hours.","Rarely.","Less than 1 hour.","Rarely.","Twice or 3 times maximum.","Maybe.","Yes.","Occasionally.","No.","Feeling tired/exhausted.;Difficulty focusing.;Sudden mood swings.","Blue light emitted from screens prevents melatonin.;Low physical activity while gaming causes irregularities in sleep.","No.","","Average.","."
"2024/03/20 8:08:12 pm GMT+3","Male.","sony.","Shooting games.;Action Games.;Survival games.","Daily.","More than 9 hours.","Together.","No.","To socialise and play with friends.","More than 8 hours.","Never.","1 to 3 hours.","Yes.","I don’t.","Maybe.","Occasionally.","Occasionally.","Yes.","Difficulty sleeping.;Lack of sleep.;Difficulty focusing.","Blue light emitted from screens prevents melatonin.;Low physical activity while gaming causes irregularities in sleep.","Yes.","Better attention.;Elevated mood.","Good.","SLEEP "
"2024/03/20 8:09:20 pm GMT+3","Female.","Mobile.","Shooting games.;Fighting games.;Sports games.","Rarely (once or twice a month).","1-3 hours.","Together.","Yes.","As a reward after completing academic tasks.","More than 8 hours.","Never.","Less than 1 hour.","Rarely.","I don’t.","Maybe.","Occasionally.","Yes.","Maybe.","Lack of sleep.;Feeling tired/exhausted.;Difficulty focusing.","Excitement and constant stimulation from gaming make it difficult to relax and sleep.;Disordered sleeping schedule as a result of gaming late at night.","Yes.","Enhanced sleep quality.;Better attention.","Average.",""
"2024/03/20 8:14:53 pm GMT+3","Male.","sony.","Shooting games.;Action Games.;Fighting games.","Daily.","4-6 hours.","Together.","No.","To beat boredom.","3-6 hours.","Never.","Less than 1 hour.","Never.","I don’t.","Maybe.","Yes.","Occasionally.","Yes.","Lack of sleep.;Feeling tired/exhausted.;Difficulty focusing.","Excitement and constant stimulation from gaming make it difficult to relax and sleep.;Disordered sleeping schedule as a result of gaming late at night.","No.","","Weak.","Limit your time (games aren’t going anywhere)"
"2024/03/20 8:17:04 pm GMT+3","Female.","sony.","Shooting games.;RGP games.;MMORGP games.","Daily.","4-6 hours.","Together.","No.","To beat boredom.","3-6 hours.","Rarely.","Less than 1 hour.","Rarely.","I don’t.","Yes.","Yes.","Yes.","Yes.","Lack of sleep.;Feeling tired/exhausted.;Difficulty focusing.","Low physical activity while gaming causes irregularities in sleep.;Disordered sleeping schedule as a result of gaming late at night.","Yes.","Enhanced sleep quality.;Increased productivity.","Weak.",""
"2024/03/20 8:20:57 pm GMT+3","Female.","Personal Computer (PC).","Shooting games.;Survival games.;Strategy games.","Daily.","4-6 hours.","Alone.","No.","To relieve stress and tension.","3-6 hours.","Rarely.","Less than 1 hour.","Occasionally.","Twice or 3 times maximum.","Yes.","Yes.","Rarely.","Yes.","Feeling tired/exhausted.","Blue light emitted from screens prevents melatonin.;Disordered sleeping schedule as a result of gaming late at night.","No.","","Weak.",""
"2024/03/20 8:21:11 pm GMT+3","Female.","Mobile.","Shooting games.","Rarely (once or twice a month).","1-3 hours.","Together.","No.","To relieve stress and tension.","6-8 hours.","Never.","Less than 1 hour.","Rarely.","I don’t.","Maybe.","Rarely.","Occasionally.","No.","Lack of sleep.","Blue light emitted from screens prevents melatonin.;Low physical activity while gaming causes irregularities in sleep.","Yes.","Better attention.;Elevated mood.","Good.",""
"2024/03/20 8:23:36 pm GMT+3","Female.","Personal Computer (PC).","Shooting games.;Sports games.","Regularly (several times a week).","4-6 hours.","Together.","Yes.","To relieve stress and tension.","More than 8 hours.","Occasionally.","1 to 3 hours.","Rarely.","Twice or 3 times maximum.","Yes.","Occasionally.","Rarely.","I don't know.","Feeling tired/exhausted.;Difficulty focusing.;Sudden mood swings.","Blue light emitted from screens prevents melatonin.;Disordered sleeping schedule as a result of gaming late at night.","No.","","Average.",""
